Name,DocumentService,UIName,Flags,Type,Extensions,MediaType
StarOffice XML (Base) Report Chart,com.sun.star.chart2.ChartDocument,OpenOffice.org 1.0 レポートグラフ,IMPORT EXPORT DEFAULT,StarBaseReportChart,odc,application/vnd.sun.xml.report.chart
StarOffice XML (Chart),com.sun.star.chart2.ChartDocument,OpenOffice.org 1.0 グラフ,IMPORT,chart_StarOffice_XML_Chart,sxs,application/vnd.sun.xml.chart
chart8,com.sun.star.chart2.ChartDocument,ODF グラフ,IMPORT EXPORT DEFAULT PREFERRED,chart8,odc,application/vnd.oasis.opendocument.chart
BMP - MS Windows,com.sun.star.drawing.DrawingDocument,BMP - Windows Bitmap,IMPORT,bmp_MS_Windows,bmp,image/x-MS-bmp
ClarisWorks_Draw,com.sun.star.drawing.DrawingDocument,ClarisWorks/AppleWorks 図形描画,IMPORT PREFERRED,draw_ClarisWorks,cwk,application/clarisworks
Corel Draw Document,com.sun.star.drawing.DrawingDocument,Corel Draw,IMPORT PREFERRED,draw_CorelDraw_Document,cdr,application/vnd.corel-draw
Corel Presentation Exchange,com.sun.star.drawing.DrawingDocument,Corel Presentation Exchange,IMPORT PREFERRED,draw_Corel_Presentation_Exchange,cmx,image/x-cmx
DXF - AutoCAD Interchange,com.sun.star.drawing.DrawingDocument,DXF - AutoCAD Interchange Format,IMPORT,dxf_AutoCAD_Interchange,dxf,image/vnd.dxf
EMF - MS Windows Metafile,com.sun.star.drawing.DrawingDocument,EMF - Enhanced Metafile,IMPORT,emf_MS_Windows_Metafile,emf,image/x-emf
EPS - Encapsulated PostScript,com.sun.star.drawing.DrawingDocument,EPS - Encapsulated PostScript,IMPORT,eps_Encapsulated_PostScript,eps,image/x-eps
Freehand Document,com.sun.star.drawing.DrawingDocument,Adobe/Macromedia Freehand,IMPORT PREFERRED,draw_Freehand_Document,fh fh1 fh2 fh3 fh4 fh5 fh6 fh7 fh8 fh9 fh10 fh11,image/x-freehand
GIF - Graphics Interchange,com.sun.star.drawing.DrawingDocument,GIF - Graphics Interchange Format,IMPORT,gif_Graphics_Interchange,gif,image/gif
JPG - JPEG,com.sun.star.drawing.DrawingDocument,JPEG - Joint Photographic Experts Group,IMPORT,jpg_JPEG,jpg jpeg jfif jif jpe,image/jpeg
MET - OS/2 Metafile,com.sun.star.drawing.DrawingDocument,MET - OS/2 Metafile,IMPORT,met_OS2_Metafile,met,image/x-met
MOV - MOV,com.sun.star.drawing.DrawingDocument,MOV - QuickTime ファイルフォーマット,IMPORT,mov_MOV,mov MOV,application/movie
MWAW_Bitmap,com.sun.star.drawing.DrawingDocument,古いMacのビットマップ,IMPORT PREFERRED,MWAW_Bitmap,*,
MWAW_Drawing,com.sun.star.drawing.DrawingDocument,古いMacのドロー形式,IMPORT PREFERRED,MWAW_Drawing,*,
OpenDocument Drawing Flat XML,com.sun.star.drawing.DrawingDocument,Flat XML ODF 図形描画,IMPORT EXPORT,draw_ODG_FlatXML,fodg odg xml,application/vnd.oasis.opendocument.graphics-flat-xml
PBM - Portable Bitmap,com.sun.star.drawing.DrawingDocument,PBM - Portable Bitmap,IMPORT,pbm_Portable_Bitmap,pbm,image/x-portable-bitmap
PCT - Mac Pict,com.sun.star.drawing.DrawingDocument,PCT - Mac Pict,IMPORT,pct_Mac_Pict,pct pict,image/x-pict
PCX - Zsoft Paintbrush,com.sun.star.drawing.DrawingDocument,PCX - Zsoft Paintbrush,IMPORT,pcx_Zsoft_Paintbrush,pcx,image/x-pcx
PGM - Portable Graymap,com.sun.star.drawing.DrawingDocument,PGM - Portable Graymap,IMPORT,pgm_Portable_Graymap,pgm,image/x-portable-graymap
PNG - Portable Network Graphic,com.sun.star.drawing.DrawingDocument,PNG - Portable Network Graphic,IMPORT,png_Portable_Network_Graphic,png,image/png
PPM - Portable Pixelmap,com.sun.star.drawing.DrawingDocument,PPM - Portable Pixelmap,IMPORT,ppm_Portable_Pixelmap,ppm,image/x-portable-pixmap
PSD - Adobe Photoshop,com.sun.star.drawing.DrawingDocument,PSD - Adobe Photoshop,IMPORT,psd_Adobe_Photoshop,psd,image/vnd.adobe.photoshop
PageMaker Document,com.sun.star.drawing.DrawingDocument,Adobe PageMaker,IMPORT PREFERRED,draw_PageMaker_Document,p65 pm pm6 pmd,application/x-pagemaker
Publisher Document,com.sun.star.drawing.DrawingDocument,Microsoft Publisher 98-2010,IMPORT PREFERRED,draw_Publisher_Document,pub,application/x-mspublisher
QXP Document,com.sun.star.drawing.DrawingDocument,QuarkXPress,IMPORT PREFERRED,draw_QXP_Document,qxd qxt,
RAS - Sun Rasterfile,com.sun.star.drawing.DrawingDocument,RAS - Sun Raster Image,IMPORT,ras_Sun_Rasterfile,ras,image/x-cmu-raster
SVG - Scalable Vector Graphics Draw,com.sun.star.drawing.DrawingDocument,SVG - スケーラブル・ベクター・グラフィックス,IMPORT PREFERRED,svg_Scalable_Vector_Graphics_Draw,svg svgz,image/svg+xml
SVM - StarView Metafile,com.sun.star.drawing.DrawingDocument,SVM - StarView Metafile,IMPORT,svm_StarView_Metafile,svm,image/x-svm
StarOffice XML (Draw),com.sun.star.drawing.DrawingDocument,OpenOffice.org 1.0 図形描画,IMPORT PREFERRED,draw_StarOffice_XML_Draw,sxd,application/vnd.sun.xml.draw
StarOffice_Drawing,com.sun.star.drawing.DrawingDocument,古い StarOffice 図形描画,IMPORT PREFERRED,StarOffice_Drawing,sda,
TGA - Truevision TARGA,com.sun.star.drawing.DrawingDocument,TGA - Truevision Targa,IMPORT,tga_Truevision_TARGA,tga,image/x-targa
TIF - Tag Image File,com.sun.star.drawing.DrawingDocument,TIFF - Tagged Image File Format,IMPORT,tif_Tag_Image_File,tif tiff,image/tiff
Visio Document,com.sun.star.drawing.DrawingDocument,Microsoft Visio 2000-2013,IMPORT PREFERRED,draw_Visio_Document,vdx vsd vsdm vsdx,application/vnd.visio
WMF - MS Windows Metafile,com.sun.star.drawing.DrawingDocument,WMF - Windows Metafile,IMPORT,wmf_MS_Windows_Metafile,wmf,image/x-wmf
WordPerfect Graphics,com.sun.star.drawing.DrawingDocument,WordPerfect Graphics,IMPORT PREFERRED,draw_WordPerfect_Graphics,wpg,image/x-wpg
XBM - X-Consortium,com.sun.star.drawing.DrawingDocument,XBM - X Bitmap,IMPORT,xbm_X_Consortium,xbm,image/x-xbitmap
XHTML Draw File,com.sun.star.drawing.DrawingDocument,XHTML,EXPORT,XHTML_File,html xhtml,application/xhtml+xml
XPM,com.sun.star.drawing.DrawingDocument,XPM - X PixMap,IMPORT,xpm_XPM,xpm,image/x-xpixmap
ZMF Document,com.sun.star.drawing.DrawingDocument,Zoner Callisto/図形描画,IMPORT PREFERRED,draw_ZMF_Document,zmf,
draw8,com.sun.star.drawing.DrawingDocument,ODF 図形描画,IMPORT EXPORT DEFAULT PREFERRED,draw8,odg,application/vnd.oasis.opendocument.graphics
draw8_template,com.sun.star.drawing.DrawingDocument,ODF 図形描画テンプレート,IMPORT EXPORT,draw8_template,otg,application/vnd.oasis.opendocument.graphics-template
draw_PCD_Photo_CD_Base,com.sun.star.drawing.DrawingDocument,PCD - Kodak Photo CD (768x512),IMPORT,pcd_Photo_CD_Base,pcd,image/x-photo-cd
draw_PCD_Photo_CD_Base16,com.sun.star.drawing.DrawingDocument,PCD - Kodak Photo CD (192x128),IMPORT,pcd_Photo_CD_Base16,pcd,image/x-photo-cd
draw_PCD_Photo_CD_Base4,com.sun.star.drawing.DrawingDocument,PCD - Kodak Photo CD (384x256),IMPORT,pcd_Photo_CD_Base4,pcd,image/x-photo-cd
draw_StarOffice_XML_Draw_Template,com.sun.star.drawing.DrawingDocument,OpenOffice.org 1.0 図形描画テンプレート,IMPORT,draw_StarOffice_XML_Draw_Template,std,application/vnd.sun.xml.draw.template
draw_bmp_Export,com.sun.star.drawing.DrawingDocument,BMP - Windows Bitmap,EXPORT,bmp_MS_Windows,bmp,image/x-MS-bmp
draw_emf_Export,com.sun.star.drawing.DrawingDocument,EMF - Enhanced Metafile,EXPORT,emf_MS_Windows_Metafile,emf,image/x-emf
draw_eps_Export,com.sun.star.drawing.DrawingDocument,EPS - Encapsulated PostScript,EXPORT,eps_Encapsulated_PostScript,eps,image/x-eps
draw_flash_Export,com.sun.star.drawing.DrawingDocument,Macromedia Flash (SWF),EXPORT,graphic_SWF,swf,
draw_gif_Export,com.sun.star.drawing.DrawingDocument,GIF - Graphics Interchange Format,EXPORT,gif_Graphics_Interchange,gif,image/gif
draw_html_Export,com.sun.star.drawing.DrawingDocument,HTML ドキュメント (Draw),EXPORT,graphic_HTML,html htm,text/html
draw_jpg_Export,com.sun.star.drawing.DrawingDocument,JPEG - Joint Photographic Experts Group,EXPORT,jpg_JPEG,jpg jpeg jfif jif jpe,image/jpeg
draw_pdf_Export,com.sun.star.drawing.DrawingDocument,PDF - Portable Document Format,EXPORT,pdf_Portable_Document_Format,pdf,application/pdf
draw_pdf_addstream_import,com.sun.star.drawing.DrawingDocument,PDF - Portable Document Format,IMPORT,pdf_Portable_Document_Format,pdf,application/pdf
draw_pdf_import,com.sun.star.drawing.DrawingDocument,PDF - Portable Document Format (Draw),IMPORT PREFERRED,pdf_Portable_Document_Format,pdf,application/pdf
draw_png_Export,com.sun.star.drawing.DrawingDocument,PNG - Portable Network Graphic,EXPORT,png_Portable_Network_Graphic,png,image/png
draw_svg_Export,com.sun.star.drawing.DrawingDocument,SVG - Scalable Vector Graphics,EXPORT,svg_Scalable_Vector_Graphics,svg svgz,image/svg+xml
draw_tif_Export,com.sun.star.drawing.DrawingDocument,TIFF - Tagged Image File Format,EXPORT,tif_Tag_Image_File,tif tiff,image/tiff
draw_wmf_Export,com.sun.star.drawing.DrawingDocument,WMF - Windows Metafile,EXPORT,wmf_MS_Windows_Metafile,wmf,image/x-wmf
MathML XML (Math),com.sun.star.formula.FormulaProperties,MathML 2.0,IMPORT EXPORT,math_MathML_XML_Math,mml,application/mathml+xml
MathType 3.x,com.sun.star.formula.FormulaProperties,MathType3.x,IMPORT EXPORT,math_MathType_3x,xxx,
StarOffice XML (Math),com.sun.star.formula.FormulaProperties,OpenOffice.org 1.0 数式,IMPORT,math_StarOffice_XML_Math,sxm,application/vnd.sun.xml.math
math8,com.sun.star.formula.FormulaProperties,ODF 数式,IMPORT EXPORT DEFAULT,math8,odf,application/vnd.oasis.opendocument.formula
math_pdf_Export,com.sun.star.formula.FormulaProperties,PDF - Portable Document Format,EXPORT,pdf_Portable_Document_Format,pdf,application/pdf
Apple Keynote,com.sun.star.presentation.PresentationDocument,Apple Keynote,IMPORT PREFERRED,impress_AppleKeynote,key,application/x-iwork-keynote-sffkey
CGM - Computer Graphics Metafile,com.sun.star.presentation.PresentationDocument,CGM - Computer Graphics Metafile,IMPORT,impress_CGM_Computer_Graphics_Metafile,cgm,image/cgm
ClarisWorks_Impress,com.sun.star.presentation.PresentationDocument,ClarisWorks/AppleWorks プレゼンテーション,IMPORT PREFERRED,impress_ClarisWorks,cwk,application/clarisworks
Impress MS PowerPoint 2007 XML,com.sun.star.presentation.PresentationDocument,PowerPoint 2007–2019,IMPORT EXPORT PREFERRED,MS PowerPoint 2007 XML,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
Impress MS PowerPoint 2007 XML AutoPlay,com.sun.star.presentation.PresentationDocument,PowerPoint 2007–2019 オートプレイ,IMPORT EXPORT PREFERRED,MS PowerPoint 2007 XML AutoPlay,ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow
Impress MS PowerPoint 2007 XML Template,com.sun.star.presentation.PresentationDocument,PowerPoint 2007–2019 テンプレート,IMPORT EXPORT PREFERRED,MS PowerPoint 2007 XML Template,potm potx,application/vnd.openxmlformats-officedocument.presentationml.template
Impress MS PowerPoint 2007 XML VBA,com.sun.star.presentation.PresentationDocument,PowerPoint 2007–2019 VBA,IMPORT EXPORT PREFERRED,MS PowerPoint 2007 XML VBA,pptm,application/vnd.ms-powerpoint.presentation.macroEnabled.main+xml
Impress Office Open XML,com.sun.star.presentation.PresentationDocument,Office Open XML プレゼンテーション,IMPORT EXPORT PREFERRED,Office Open XML Presentation,pptx pptm,application/vnd.openxmlformats-officedocument.presentationml.presentation
Impress Office Open XML AutoPlay,com.sun.star.presentation.PresentationDocument,Office Open XML プレゼンテーションオートプレイ,IMPORT EXPORT PREFERRED,Office Open XML Presentation AutoPlay,ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow
Impress Office Open XML Template,com.sun.star.presentation.PresentationDocument,Office Open XML プレゼンテーションテンプレート,IMPORT EXPORT PREFERRED,Office Open XML Presentation Template,potm potx,application/vnd.openxmlformats-officedocument.presentationml.template
MS PowerPoint 97,com.sun.star.presentation.PresentationDocument,PowerPoint 97–2003,IMPORT EXPORT,impress_MS_PowerPoint_97,ppt dps,application/vnd.ms-powerpoint
MS PowerPoint 97 AutoPlay,com.sun.star.presentation.PresentationDocument,PowerPoint 97–2003 オートプレイ,IMPORT EXPORT,impress_MS_PowerPoint_97_AutoPlay,pps,application/vnd.ms-powerpoint
MS PowerPoint 97 Vorlage,com.sun.star.presentation.PresentationDocument,PowerPoint 97–2003 テンプレート,IMPORT EXPORT,impress_MS_PowerPoint_97_Vorlage,pot dpt,application/vnd.ms-powerpoint
MWAW_Presentation,com.sun.star.presentation.PresentationDocument,古いMacのプレゼンテーション,IMPORT PREFERRED,MWAW_Presentation,*,
OpenDocument Presentation Flat XML,com.sun.star.presentation.PresentationDocument,Flat XML ODF プレゼンテーション,IMPORT EXPORT,impress_ODP_FlatXML,fodp odp xml,application/vnd.oasis.opendocument.presentation-flat-xml
PowerPoint 3,com.sun.star.presentation.PresentationDocument,Microsoft PowerPoint 1-4および95,IMPORT,impress_PowerPoint3,ppt pot,
SVG - Scalable Vector Graphics,com.sun.star.presentation.PresentationDocument,SVG - Scalable Vector Graphics,IMPORT PREFERRED,svg_Scalable_Vector_Graphics,svg svgz,image/svg+xml
StarOffice XML (Impress),com.sun.star.presentation.PresentationDocument,OpenOffice.org 1.0 プレゼンテーション,IMPORT PREFERRED,impress_StarOffice_XML_Impress,sxi,application/vnd.sun.xml.impress
StarOffice_Presentation,com.sun.star.presentation.PresentationDocument,古いStarOfficeプレゼンテーション,IMPORT PREFERRED,StarOffice_Presentation,sdd,
UOF presentation,com.sun.star.presentation.PresentationDocument,Unified Office Format プレゼンテーション,IMPORT EXPORT,Unified_Office_Format_presentation,uop uof,
XHTML Impress File,com.sun.star.presentation.PresentationDocument,XHTML,EXPORT,XHTML_File,html xhtml,application/xhtml+xml
impress8,com.sun.star.presentation.PresentationDocument,ODF プレゼンテーション,IMPORT EXPORT DEFAULT PREFERRED,impress8,odp,application/vnd.oasis.opendocument.presentation
impress8_draw,com.sun.star.presentation.PresentationDocument,ODF 図形描画 (Impress),IMPORT EXPORT,draw8,odg,application/vnd.oasis.opendocument.graphics
impress8_template,com.sun.star.presentation.PresentationDocument,ODF プレゼンテーションテンプレート,IMPORT EXPORT,impress8_template,otp,application/vnd.oasis.opendocument.presentation-template
impress_StarOffice_XML_Draw,com.sun.star.presentation.PresentationDocument,OpenOffice.org 1.0 図形描画 (Impress),IMPORT,draw_StarOffice_XML_Draw,sxd,application/vnd.sun.xml.draw
impress_StarOffice_XML_Impress_Template,com.sun.star.presentation.PresentationDocument,OpenOffice.org 1.0 プレゼンテーションテンプレート,IMPORT,impress_StarOffice_XML_Impress_Template,sti,application/vnd.sun.xml.impress.template
impress_bmp_Export,com.sun.star.presentation.PresentationDocument,BMP - Windows Bitmap,EXPORT,bmp_MS_Windows,bmp,image/x-MS-bmp
impress_emf_Export,com.sun.star.presentation.PresentationDocument,EMF - Enhanced Metafile,EXPORT,emf_MS_Windows_Metafile,emf,image/x-emf
impress_eps_Export,com.sun.star.presentation.PresentationDocument,EPS - Encapsulated PostScript,EXPORT,eps_Encapsulated_PostScript,eps,image/x-eps
impress_flash_Export,com.sun.star.presentation.PresentationDocument,Macromedia Flash (SWF),EXPORT,graphic_SWF,swf,
impress_gif_Export,com.sun.star.presentation.PresentationDocument,GIF - Graphics Interchange Format,EXPORT,gif_Graphics_Interchange,gif,image/gif
impress_html_Export,com.sun.star.presentation.PresentationDocument,HTML ドキュメント (Impress),EXPORT,graphic_HTML,html htm,text/html
impress_jpg_Export,com.sun.star.presentation.PresentationDocument,JPEG - Joint Photographic Experts Group,EXPORT,jpg_JPEG,jpg jpeg jfif jif jpe,image/jpeg
impress_pdf_Export,com.sun.star.presentation.PresentationDocument,PDF - Portable Document Format,EXPORT,pdf_Portable_Document_Format,pdf,application/pdf
impress_pdf_addstream_import,com.sun.star.presentation.PresentationDocument,PDF - Portable Document Format,IMPORT,pdf_Portable_Document_Format,pdf,application/pdf
impress_pdf_import,com.sun.star.presentation.PresentationDocument,PDF - Portable Document Format (Impress),IMPORT PREFERRED,pdf_Portable_Document_Format,pdf,application/pdf
